flex_myobrick_pwm,extend_myobrick_pwm,current_angle,current_angular_velocity,current_angular_acceleration,desired_angle,desired_angular_velocity,desired_angular_acceleration
3.0,3.0,38.50579833984375,-0.4490166306495666,-3.273709774017334,38.49268341064453,0.0231543406844139,-0.0601056665182113
-1.0,8.729695615860166,38.49268341064453,0.0231543406844139,-0.0601056665182113,38.86774063110352,2.381277084350586,13.82157039642334
-1.0,5.021246234048471,38.524600982666016,1.0419453382492063,10.57859706878662,41.46363830566406,10.832953453063965,16.86237144470215
3.0,3.0,38.57807540893555,-0.4100845456123352,1.0238453149795532,38.50579833984375,-0.4490166306495666,-3.273709774017334
9.409393092904889,-1.0,38.73249816894531,-1.015854001045227,-4.05303430557251,38.56586837768555,-0.3794853091239929,0.9487133026123048
9.385406518954762,-1.0,38.808990478515625,-0.5479177832603455,3.56672477722168,38.57807540893555,-0.4100845456123352,1.0238453149795532
-1.0,8.729695615860166,38.86774063110352,2.381277084350586,13.82157039642334,42.6416130065918,13.381502151489258,23.675485610961918
9.409393092904889,-1.0,38.97145080566406,-0.954040825366974,0.1878301948308944,38.73249816894531,-1.015854001045227,-4.05303430557251
9.385406518954762,-1.0,39.06732177734375,-1.193848729133606,0.7854717373847961,38.808990478515625,-0.5479177832603455,3.56672477722168
8.562511837765397,-1.0,39.06911849975586,-0.3193796575069427,0.7984490990638733,39.07568740844727,0.1036139726638794,4.134313583374023
-1.0,6.4274729133682005,39.14013671875,-0.2768958806991577,2.891219139099121,39.45525360107422,2.89039945602417,19.14228820800781
-1.0,9.394267479898648,39.07568740844727,0.1036139726638794,4.134313583374023,39.73387145996094,5.050173759460449,33.51573944091797
-1.0,6.840793648974424,39.10094451904297,2.018184185028076,30.112255096435547,41.73221969604492,11.69963550567627,25.682876586914062
-1.0,6.840793648974424,39.23241424560547,-2.924755334854126,2.9178569316864014,39.10094451904297,2.018184185028076,30.112255096435547
8.562511837765397,-1.0,39.19069290161133,-0.1838686913251876,4.854215621948242,39.16889190673828,-0.1290905773639679,-1.8721548318862915
3.0,3.0,39.23058319091797,-0.0635890588164329,0.1605094522237777,39.27858352661133,0.2555173635482788,1.5566000938415527
8.435159526302282,-1.0,39.273197174072266,-0.3901404142379761,0.9746679663658142,39.14013671875,-0.2768958806991577,2.891219139099121
8.562511837765397,-1.0,39.33766555786133,-0.3316056728363037,3.025773763656616,39.19069290161133,-0.1838686913251876,4.854215621948242
7.808949434918714,-1.0,39.34782791137695,-0.1372185051441192,0.343558520078659,39.3119010925293,-0.2670603990554809,-3.7251851558685294
3.0,3.0,39.3305778503418,-0.0939150974154472,-1.9602643251419067,39.3663444519043,0.036131702363491,-0.0915245339274406
-1.0,3.8684058482469457,39.3119010925293,-0.2670603990554809,-3.7251851558685294,39.54946517944336,1.775644302368164,13.135819435119627
-1.0,7.523492241388468,39.29190444946289,0.0025954719167202,-0.0054641515016555,39.73678970336914,3.2848429679870605,24.746458053588867
9.409393092904889,-1.0,39.388282775878906,-1.3367363214492798,3.3440606594085693,38.97145080566406,-0.954040825366974,0.1878301948308944
7.808949434918714,-1.0,39.40012741088867,-0.0480845309793949,0.1202113330364227,39.34782791137695,-0.1372185051441192,0.343558520078659
7.808949434918714,-1.0,39.3964958190918,-0.4786596596240997,-5.395849227905273,39.40012741088867,-0.0480845309793949,0.1202113330364227
